Index,0,1,2,3,4,5,6,7,8,9,10
nightwish,nightwish,in extremo,schandmaul,apocalyptica,subway to sally,sonata arctica,lacuna coil,blind guardian,rammstein,evanescence,iron maiden
nine inch nails,nine inch nails,the smashing pumpkins,deftones,a perfect circle,tool,dredg,the cure,marilyn manson,godsmack,queens of the stone age,mogwai
nirvana,nirvana,red hot chili peppers,rage against the machine,die toten hosen,farin urlaub,the offspring,foo fighters,beatsteaks,the white stripes,system of a down,ac/dc
nofx,nofx,millencolin,bad religion,anti-flag,dropkick murphys,misfits,flogging molly,afi,ramones,the clash,rise against
norah jones,norah jones,amy winehouse,katie melua,alicia keys,dido,james blunt,alanis morissette,u2,snow patrol,frank sinatra,lenny kravitz
nouvelle vague,nouvelle vague,goldfrapp,bjork,air,kings of convenience,crystal castles,cat power,cocorosie,morcheeba,david bowie,hot chip
oasis,oasis,clueso,kaiser chiefs,the beatles,razorlight,jack johnson,the fratellis,travis,mando diao,snow patrol,james blunt
oomph!,oomph!,him,lacuna coil,marilyn manson,serj tankian,rob zombie,sonata arctica,evanescence,dream theater,apocalyptica,nightwish
opeth,opeth,dimmu borgir,dark tranquillity,porcupine tree,dream theater,volbeat,rob zombie,children of bodom,machine head,arch enemy,slayer
panic at the disco,panic at the disco,fall out boy,jimmy eat world,the fray,my chemical romance,simple plan,good charlotte,paramore,james blunt,green day,nickelback
papa roach,papa roach,three days grace,breaking benjamin,limp bizkit,disturbed,sum 41,bullet for my valentine,the offspring,stone sour,linkin park,billy talent
paramore,paramore,flyleaf,simple plan,my chemical romance,jimmy eat world,good charlotte,three days grace,afi,the fray,panic at the disco,blink-182
parkway drive,parkway drive,bring me the horizon,all that remains,caliban,as i lay dying,heaven shall burn,hatebreed,atreyu,chimaira,sonic syndicate,trivium
pearl jam,pearl jam,audioslave,johnny cash,the smashing pumpkins,rage against the machine,queens of the stone age,dredg,tori amos,jimi hendrix,oasis,alanis morissette
peter fox,peter fox,seeed,clueso,deichkind,nickelback,farin urlaub,bob marley,green day,kanye west,gorillaz,die toten hosen
pink,pink,christina aguilera,kelly clarkson,avril lavigne,britney spears,nelly furtado,katy perry,the pussycat dolls,leona lewis,rihanna,lady gaga
pink floyd,pink floyd,led zeppelin,dire straits,genesis,the doors,depeche mode,the rolling stones,deep purple,the beatles,jimi hendrix,porcupine tree
placebo,placebo,muse,incubus,the killers,the white stripes,farin urlaub,foo fighters,nirvana,arctic monkeys,coldplay,mando diao
porcupine tree,porcupine tree,dream theater,opeth,a perfect circle,dredg,tool,pink floyd,howard shore,jimi hendrix,tori amos,led zeppelin
